53,47,112,41,49,103,104,55,119,50
102,53,58,108,112,57,107,107,49,50
42,101,112,114,117,57,56,52,118,113
103,46,58,116,117,117,109,106,117,51
102,103,106,52,117,48,114,52,49,112
117,59,42,52,117,109,56,55,117,56
103,117,106,41,49,57,59,56,53,44
42,46,106,55,110,101,52,109,56,50
101,53,106,112,49,50,114,58,53,58
42,112,108,55,108,110,107,44,118,112
58,47,112,114,49,57,107,55,119,112
102,101,54,104,49,48,107,55,53,44
41,46,106,112,112,117,58,42,40,107
42,53,54,111,49,101,104,44,49,107
102,117,112,112,56,57,59,106,53,58
